species,references,infects_humans
Ascaris lumbricoides,313,Y
Trichuris trichiura,244,Y
Schistosoma mansoni,197,Y
Echinococcus granulosus,179,Y
Schistosoma haematobium,159,Y
Strongyloides stercoralis,158,Y
Enterobius vermicularis,157,Y
Onchocerca volvulus,141,Y
Taenia solium,139,Y
Hymenolepis nana,120,Y
Wuchereria bancrofti,114,Y
Taenia saginata,92,Y
Necator americanus,85,Y
Echinococcus multilocularis,76,Y
Fasciola hepatica,76,Y
Schistosoma japonicum,61,Y
Clonorchis sinensis,59,Y
Dirofilaria repens,57,Y
Diphyllobothrium latum,56,Y
Ancylostoma duodenale,55,Y
Opisthorchis viverrini,51,Y
Paragonimus westermani,46,Y
Toxocara canis,45,Y
Anisakis simplex,44,Y
Fasciolopsis buski,38,Y
Hymenolepis diminuta,38,Y
Metagonimus yokogawai,37,Y
Brugia malayi,36,Y
Schistosoma intercalatum,35,Y
Loa loa,34,Y
Dirofilaria immitis,33,Y
Dracunculus medinensis,33,Y
Angiostrongylus cantonensis,32,Y
Heterophyes heterophyes,30,Y
Dicrocoelium dendriticum,27,Y
Stellantchasmus falcatus,26,Y
Diphyllobothrium nihonkaiense,25,Y
Dipylidium caninum,25,Y
Echinostoma revolutum,25,Y
Gastrodiscoides hominis,25,Y
Capillaria philippinensis,24,Y
Pseudoterranova decipiens,24,Y
Echinostoma malayanum,23,Y
Capillaria hepatica,22,Y
Echinostoma hortense,22,Y
Opisthorchis felineus,22,Y
Toxocara cati,22,Y
Ancylostoma caninum,21,Y
Echinostoma ilocanum,21,Y
Mansonella perstans,21,Y
Heterophyes nocens,20,Y
Taenia asiatica,20,Y
Haplorchis taichui,19,Y
Oesophagostomum bifurcum,19,Y
Echinococcus vogeli,17,Y
Fasciola gigantica,17,Y
Mansonella ozzardi,17,Y
Thelazia callipaeda,17,Y
Echinochasmus japonicus,16,Y
Echinostoma cinetorchis,16,Y
Haplorchis pumilio,16,Y
Trichinella britovi,16,Y
Haplorchis yokogawai,15,Y
Mammomonogamus laryngeus,15,Y
Pygidiopsis summa,15,Y
