"","Host","Parasite","ParasiteFull","group","locality","hostgroup"
"45","Homo sapiens","Acanthocephalus rauschi","Acanthocephalus rauschi (Schmidt, 1969)","Acanthocephala","Alaska","Mammalia"
"57","Homo sapiens","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Mammalia"
"2320","Homo sapiens","Macracanthorhynchus hirudinaceus","Macracanthorhynchus hirudinaceus (Pallas, 1781)","Acanthocephala","Australia","Mammalia"
"2339","Homo sapiens","Moniliformis moniliformis","Moniliformis moniliformis (Bremser in Rudolphi, 1819)","Acanthocephala","Australia","Mammalia"
"4366","Homo sapiens","Macracanthorhynchus hirudinaceus","Macracanthorhynchus hirudinaceus (Pallas, 1781)","Acanthocephala","China","Mammalia"
"4402","Homo sapiens","Moniliformis moniliformis","Moniliformis moniliformis (Bremser in Rudolphi, 1819)","Acanthocephala","China","Mammalia"
"4442","Homo sapiens","Neosentis celatus","Neosentis celatus liuanensis","Acanthocephala","China","Mammalia"
"5397","Homo sapiens","Macracanthorhynchus hirudinaceus","Macracanthorhynchus hirudinaceus (Pallas, 1781)","Acanthocephala","Far East","Mammalia"
"5441","Homo sapiens","Moniliformis moniliformis","Moniliformis moniliformis (Bremser in Rudolphi, 1819)","Acanthocephala","Far East","Mammalia"
"5491","Homo sapiens","Neosentis celatus","Neosentis celatus liuanensis","Acanthocephala","Far East","Mammalia"
"8417","Homo sapiens","Macracanthorhynchus hirudinaceus","Macracanthorhynchus hirudinaceus (Pallas, 1781)","Acanthocephala","New South Wales","Mammalia"
"8484","Homo sapiens","Moniliformis moniliformis","Moniliformis moniliformis (Bremser in Rudolphi, 1819)","Acanthocephala","Nigeria","Mammalia"
"9758","Homo sapiens","Macracanthorhynchus hirudinaceus","Macracanthorhynchus hirudinaceus (Pallas, 1781)","Acanthocephala","Oriental","Mammalia"
"10574","Homo sapiens","Macracanthorhynchus hirudinaceus","Macracanthorhynchus hirudinaceus (Pallas, 1781)","Acanthocephala","Papua New Guinea","Mammalia"
"11811","Homo sapiens","Moniliformis moniliformis","Moniliformis moniliformis (Bremser in Rudolphi, 1819)","Acanthocephala","Tasmania","Mammalia"
"11867","Homo sapiens","Macracanthorhynchus ingens","Macracanthorhynchus ingens (Linstow, 1879)","Acanthocephala","Texas","Mammalia"
"12218","Homo sapiens","Acanthocephalus rauschi","Acanthocephalus rauschi (Schmidt, 1969)","Acanthocephala","United States","Mammalia"
"12353","Homo sapiens","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","United States","Mammalia"
"12495","Homo sapiens","Macracanthorhynchus ingens","Macracanthorhynchus ingens (Linstow, 1879)","Acanthocephala","United States","Mammalia"
"13425","Homo sapiens","Echinococcus granulosus","Echinococcus granulosus  (Batsch, 1786)","Cestoda","Afghanistan","Mammalia"
"13488","Homo sapiens","Diphyllobothrium cordatum","Diphyllobothrium cordatum (Leuckart, 1863)","Cestoda","Alaska","Mammalia"
"13495","Homo sapiens","Diphyllobothrium dalliae","Diphyllobothrium dalliae Rausch, 1956","Cestoda","Alaska","Mammalia"
"13501","Homo sapiens","Diphyllobothrium dendriticum","Diphyllobothrium dendriticum (Nitzsch, 1824)","Cestoda","Alaska","Mammalia"
"13509","Homo sapiens","Diphyllobothrium lanceolatum","Diphyllobothrium lanceolatum (Krabbe, 1865)","Cestoda","Alaska","Mammalia"
"13511","Homo sapiens","Diphyllobothrium latum","Diphyllobothrium latum (Linnaeus, 1758)","Cestoda","Alaska","Mammalia"
"13522","Homo sapiens","Echinococcus multilocularis","Echinococcus multilocularis Leuckart, 1863","Cestoda","Alaska","Mammalia"
"14560","Homo sapiens","Diphyllobothrium dendriticum","Diphyllobothrium dendriticum (Nitzsch, 1824)","Cestoda","Argentina","Mammalia"
